legajo;nombreUsuario;contrasena;fechaAlta;fechaUltimoLogin
2034;zachary.mills;+OEDT#4j97;21/05/2021;10/05/2024
1500;gloria.washington;&YtT+7OtkT;31/03/2024;24/02/2025
5343;timothy.harrison;qO@m7!Oz&P;06/09/2023;18/12/2024
7976;michaela.banks;)sC2(Ee@AK;04/09/2022;16/01/2025
2191;sean.parker;u6BLDOBc!U;11/07/2021;02/11/2024
2316;craig.haynes;1xg0I(+u)X;04/04/2021;14/01/2025
2448;taylor.reynolds;^0YFuIq)+r;27/05/2021;20/11/2025
2376;brandon.morrison;h9HH$hs0*3;18/05/2025;
3018;james.marsh;uw1E#bxu^b;29/09/2021;17/05/2025
2945;monica.mitchell;$*h0TGOn&#;23/11/2022;10/05/2025
2314;leonel.vigilante;leonel123;23/11/2023;14/05/2025
2315;joaquin.piñeyro;joaquin123;23/11/2024;14/05/2025
2316;tobias.itzcovich;tobias123;24/11/2022;14/05/2025
2317;franco.cardaci;franco123;26/11/2022;14/05/2025
